word,onsets,offsets
sheep,292.2322,292.6622
eat,292.6622,292.8022
shrubs,292.8022,293.3912
but,293.8801,294.0151
the,294.0151,294.0951
little,294.0951,294.3451
prince,294.3451,294.7251
added,294.7251,295.0848
then,295.7781,295.9031
it,295.9031,296.1631
follows,296.1631,296.6531
they,296.6531,296.8031
also,296.8031,297.2631
eat,297.2631,297.4631
baobabs,297.4631,298.3074
i,299.1504,299.2754
pointed,299.2754,299.7054
out,299.7054,299.9054
to,299.9054,300.0154
the,300.0154,300.1254
little,300.1254,300.3554
prince,300.3554,300.8154
that,300.8154,301.0454
baobabs,301.0454,301.7054
were,301.7054,301.7754
not,301.7754,302.1354
shrubs,302.1354,302.8954
but,302.8954,303.1854
trees,303.1854,303.7854
as,303.7854,303.9954
big,303.9954,304.2154
as,304.2154,304.4554
churches,304.4554,305.4854
and,305.4854,305.7754
that,305.7754,305.8954
even,305.8954,306.1054
if,306.1054,306.2354
he,306.2354,306.3754
took,306.3754,306.5854
with,306.5854,306.7454
him,306.7454,306.8654
a,306.8654,306.9154
whole,306.9154,307.3954
herd,307.3954,307.8854
of,307.8854,307.9754
elephants,307.9754,308.8754
the,308.8754,309.0854
herd,309.0854,309.4354
wouldn,309.4354,309.7454
t,309.7454,309.7754
manage,309.7754,310.2154
to,310.2154,310.3454
eat,310.3454,310.5554
up,310.5554,310.7354
one,310.7354,311.0754
single,311.0754,311.7954
baobab,311.7954,312.4532
the,313.3012,313.4262
idea,313.4262,313.7962
of,313.7962,314.0262
the,314.0262,314.1062
herd,314.1062,314.3762
of,314.3762,314.4662
elephants,314.4662,315.0162
made,315.0162,315.2362
the,315.2362,315.3262
little,315.3262,315.5662
prince,315.5662,316.0462
laugh,316.0462,316.4555
they,317.0541,317.1691
d,317.1691,317.1991
have,317.1991,317.3791
to,317.3791,317.5091
be,317.5091,317.7091
piled,317.7091,318.1791
up,318.1791,318.3591
on,318.3591,318.5391
top,318.5391,318.7391
of,318.7391,318.8791
each,318.8791,319.1591
other,319.1591,319.4931
but,320.4059,320.5309
he,320.5309,320.6509
remarked,320.6509,321.1309
wisely,321.1309,321.6708
the,322.2942,322.3592
baobab,322.3592,323.0492
trees,323.0492,323.5092
before,323.5092,323.8992
they,323.8992,324.0392
grow,324.0392,324.3992
up,324.3992,324.7492
start,324.7492,325.2092
off,325.2092,325.3992
small,325.3992,325.9174
that,326.6357,326.8407
s,326.8407,326.9407
right,326.9407,327.2955
but,327.9739,328.1589
why,328.1589,328.5489
do,328.5489,328.6189
you,328.6189,328.7189
want,328.7189,328.9289
the,328.9289,329.0189
sheep,329.0189,329.3489
to,329.3489,329.5289
eat,329.5289,329.6889
the,329.6889,329.7889
little,329.7889,330.0389
baobabs,330.0389,330.7778
he,331.5061,331.5711
replied,331.5711,332.0809
oh,332.2804,332.6554
come,332.6554,333.0154
on,333.0154,333.4097
as,333.7988,333.9438
if,333.9438,334.0838
it,334.0838,334.1838
were,334.1838,334.3738
obvious,334.3738,334.9136
and,335.1979,335.4829
it,335.4829,335.6129
took,335.6129,335.9029
me,335.9029,336.0529
a,336.0529,336.0829
great,336.0829,336.5529
mental,336.5529,337.1429
effort,337.1429,337.6229
to,337.6229,337.7929
understand,337.7929,338.4729
this,338.4729,338.6729
problem,338.6729,339.1129
on,339.1129,339.2329
my,339.2329,339.5229
own,339.5229,339.7761
without,339.9805,340.3955
any,340.3955,340.6655
help,340.6655,341.0301
and,341.6137,341.9787
indeed,341.9787,342.5034
on,342.9722,343.1472
the,343.1472,343.2272
planet,343.2272,343.6972
of,343.6972,343.7872
the,343.7872,343.8872
little,343.8872,344.1472
prince,344.1472,344.7072
there,344.7072,344.8272
were,344.8272,344.8872
like,344.8872,345.1372
on,345.1372,345.2772
all,345.2772,345.9872
planets,345.9872,346.5559
both,346.9349,347.3399
good,347.3399,347.4897
plants,347.7091,348.0941
and,348.0941,348.2741
bad,348.2741,348.5541
plants,348.5541,349.0884
and,349.4974,349.7224
therefore,349.7224,350.457
both,350.6564,351.0214
good,351.0214,351.2514
seeds,351.2514,351.7714
from,351.7714,351.9814
good,351.9814,352.2314
plants,352.2314,352.8314
and,352.8314,352.9814
bad,352.9814,353.3814
seeds,353.3814,353.8114
from,353.8114,354.0014
bad,354.0014,354.2914
plants,354.2914,354.8541
but,355.4127,355.6077
seeds,355.6077,356.0277
are,356.0277,356.0977
invisible,356.0977,356.7274
they,357.2811,357.4161
sleep,357.4161,357.8761
secretly,357.8761,358.6061
deep,358.6061,358.9361
in,358.9361,359.0161
the,359.0161,359.1561
earth,359.1561,359.53
until,359.7344,360.4394
on,360.4394,360.5294
a,360.5294,360.5894
whim,360.5894,361.0542
one,361.3385,361.5335
of,361.5335,361.6835
them,361.6835,361.8235
decides,361.8235,362.3435
to,362.3435,362.4335
wake,362.4335,362.8835
up,362.8835,363.0529
then,363.5518,363.8568
it,363.8568,363.9868
elongates,363.9868,364.8968
and,364.8968,365.0568
grows,365.0568,365.6368
timidly,365.6368,366.1068
at,366.1068,366.2468
first,366.2468,366.6359
toward,366.9102,367.1252
the,367.1252,367.2252
sun,367.2252,367.6651
a,368.0391,368.0841
charming,368.0841,368.7441
little,368.7441,369.0441
harmless,369.0441,369.6741
sprig,369.6741,370.1986
if,370.8969,371.0219
it,371.0219,371.1519
s,371.1519,371.1819
a,371.1819,371.2119
sprig,371.2119,371.5619
of,371.5619,371.7219
radish,371.7219,372.3119
or,372.3119,372.5219
rose,372.5219,372.9319
bush,372.9319,373.1919
you,373.1919,373.2819
can,373.2819,373.4019
let,373.4019,373.5719
it,373.5719,373.6519
grow,373.6519,373.8819
as,373.8819,373.9919
it,373.9919,374.1419
likes,374.1419,374.5607
but,375.1444,375.2594
if,375.2594,375.3894
it,375.3894,375.5194
s,375.5194,375.5594
a,375.5594,375.6394
bad,375.6394,376.1094
plant,376.1094,376.6134
one,376.9675,377.1925
must,377.1925,377.5625
