word,onsets,offsets
ce,268.18,268.35
n',268.35,268.41
est,268.41,268.51
pas,268.51,268.62
très,268.62,268.79
sérieux,268.79,269.26
le,270.17,270.34
petit,270.34,270.67
prince,270.67,271.07
avait,271.07,271.42
sur,271.42,271.58
les,271.58,271.71
choses,271.71,272.08
sérieuses,272.08,272.83
des,273.0,273.31
idées,273.31,273.66
très,273.66,273.99
différentes,273.99,274.68
des,274.68,274.91
idées,274.91,275.16
des,275.16,275.29
grandes,275.29,275.57
personnes,275.57,276.24
moi,277.39,277.69
dit,277.96,278.22
il,278.22,278.35
encore,278.35,278.84
je,279.22,279.44
possède,279.44,279.921935
une,279.921935,280.03
fleur,280.03,280.5
que,280.5,280.62
j',280.62,280.73
arrose,280.73,281.22
tous,281.22,281.41
les,281.41,281.55
jours,281.55,281.95
je,282.39,282.61
possède,282.61,283.1
trois,283.1,283.45
volcans,283.45,283.9
que,283.9,284.03
je,284.03,284.17
ramone,284.17,284.65
toutes,284.65,285.02
les,285.02,285.16
semaines,285.16,285.81
car,286.15,286.37
je,286.37,286.51
ramone,286.51,286.99
aussi,287.06,287.49
celui,287.49,287.95
qui,287.95,288.19
est,288.19,288.29
éteint,288.29,288.69
on,289.12,289.27
ne,289.27,289.34
sait,289.34,289.53
jamais,289.53,289.93
c',290.55,290.69
est,290.69,290.83
utile,290.83,291.15
à,291.15,291.23
mes,291.23,291.36
volcans,291.36,291.77
et,292.07,292.1
c',292.1,292.2
est,292.2,292.34
utile,292.34,292.63
à,292.63,292.71
ma,292.71,292.82
fleur,292.82,293.27
que,293.27,293.39
je,293.39,293.56
les,293.56,293.71
possède,293.71,294.19
mais,295.15,295.34
tu,295.34,295.49
n',295.49,295.53
es,295.53,295.66
pas,295.66,295.83
utile,295.83,296.28
aux,296.28,296.38
étoiles,296.38,297.02
le,298.27,298.35
businessman,298.35,299.12
ouvrit,299.12,299.36
la,299.36,299.52
bouche,299.52,299.97
mais,299.97,300.15
ne,300.15,300.27
trouva,300.27,300.63
rien,300.63,300.97
à,300.97,301.01
répondre,301.01,301.69
et,301.98,302.08
le,302.08,302.21
petit,302.21,302.51
prince,302.51,302.97
s',302.97,302.99
en,302.99,303.06
fut,303.06,303.4
les,304.77,304.98
grandes,304.98,305.35
personnes,305.35,305.82
sont,305.82,305.98
décidément,305.98,306.59
tout,306.59,307.05
à,307.05,307.15
fait,307.15,307.41
extraordinaires,307.41,308.42
se,308.96,309.12
disait,309.12,309.55
il,309.55,309.79
simplement,309.79,310.55
en,310.61,310.75
lui,310.75,310.95
même,310.95,311.34
durant,311.64,312.07
le,312.07,312.17
voyage,312.17,312.86
la,316.07,316.18
cinquième,316.34,316.84
planète,316.9,317.5
était,317.61,317.87
très,317.87,318.2
curieuse,318.2,318.91
c',319.33,319.46
était,319.46,319.71
la,319.71,319.88
plus,319.88,320.24
petite,320.24,320.77
de,320.77,320.94
toutes,320.94,321.41
il,322.14,322.32
y,322.32,322.42
avait,322.5,322.62
là,322.7,322.89
juste,322.89,323.42
assez,323.42,323.7
de,323.7,323.85
place,323.85,324.27
pour,324.27,324.45
loger,324.45,324.9
un,324.99,325.17
réverbère,325.17,325.92
et,326.12,326.29
un,326.29,326.54
allumeur,326.54,327.03
de,327.03,327.13
réverbères,327.13,327.84
le,328.73,328.93
petit,328.93,329.34
prince,329.34,329.84
ne,329.84,329.87
parvenait,329.87,330.34
pas,330.34,330.63
à,330.63,330.69
s',330.69,330.81
expliquer,330.81,331.4
à,331.4,331.53
quoi,331.67,331.92
pouvaient,332.0,332.27
servir,332.27,332.93
quelque,333.13,333.55
part,333.55,333.83
dans,333.83,333.98
le,333.98,334.1
ciel,334.1,334.66
sur,335.01,335.28
une,335.28,335.4
planète,335.4,335.98
sans,336.15,336.43
maison,336.43,336.83
ni,337.07,337.39
population,337.39,338.16
un,338.63,338.82
réverbère,338.82,339.56
et,339.71,339.84
un,339.84,340.02
allumeur,340.02,340.49
de,340.49,340.63
réverbères,340.63,341.4
cependant,342.42,343.1
il,343.24,343.41
se,343.41,343.52
dit,343.52,343.76
en,343.76,343.85
lui,343.85,344.0
même,344.0,344.42
peut,345.36,345.43
être,345.43,345.77
bien,345.77,346.06
que,346.06,346.15
cet,346.15,346.43
homme,346.43,346.55
est,346.55,346.68
absurde,346.68,347.28
cependant,347.8,348.43
il,348.61,348.74
est,348.74,348.84
moins,348.84,349.05
absurde,349.12,349.57
que,349.57,349.74
le,349.74,349.86
roi,349.86,350.12
que,350.57,350.67
le,350.67,350.83
vaniteux,350.83,351.43
que,351.69,351.82
le,351.82,351.91
businessman,351.91,352.65
et,352.83,352.89
que,352.89,353.04
le,353.04,353.14
buveur,353.14,353.75
au,354.33,354.46
moins,354.46,354.82
son,354.87,355.06
travail,355.06,355.5
a,355.5,355.54
t,355.54,355.64
il,355.64,355.72
un,355.72,355.85
sens,355.85,356.39
quand,357.13,357.37
il,357.37,357.47
allume,357.47,357.8
son,357.8,357.95
réverbère,357.95,358.6
c',358.95,359.09
est,359.09,359.21
comme,359.21,359.53
s',359.53,359.63
il,359.63,359.75
faisait,359.75,360.01
naître,360.01,360.34
une,360.34,360.46
étoile,360.46,360.82
de,360.82,360.98
plus,360.98,361.49
ou,361.8,361.95
une,361.95,362.08
fleur,362.08,362.59
quand,363.48,363.62
il,363.62,363.68
éteint,363.68,364.11
son,364.11,364.3
réverbère,364.3,365.01
ça,365.28,365.46
endort,365.46,365.83
la,365.83,365.96
fleur,365.96,366.37
ou,366.49,366.58
l',366.58,366.64
étoile,366.64,367.15
c',368.04,368.16
est,368.16,368.29
une,368.29,368.43
occupation,368.43,369.05
très,369.05,369.37
jolie,369.37,369.79
c',370.09,370.21
est,370.21,370.32
véritablement,370.32,371.15
utile,371.15,371.68
puisque,371.87,372.19
c',372.19,372.31
est,372.31,372.36
joli,372.36,372.78
lorsqu',374.15,374.52
il,374.52,374.61
aborda,374.61,375.02
la,375.02,375.14
planète,375.14,375.7
il,375.85,376.04
salua,376.04,376.49
respectueusement,376.49,377.47
l',377.47,377.52
allumeur,377.52,378.2
bonjour,378.87,379.41
pourquoi,379.78,380.1
viens,380.1,380.26
tu,380.26,380.39
d',380.39,380.43
éteindre,380.43,380.85
ton,380.85,381.03
réverbère,381.03,381.73
c',382.73,382.85
est,382.85,382.9
la,382.98,383.05
